id,garden_name,full_garden_name,qr_url,@qrcode_filename
00081,Organized Seeds,The Garden of Organized Seeds,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00081,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00081.png
00082,Evolving Pistil,The Garden of Evolving Pistil,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00082,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00082.png
00083,Circular Stamen,The Garden of Circular Stamen,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00083,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00083.png
00084,Adaptive Friendships,The Garden of Adaptive Friendships,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00084,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00084.png
00085,Complex Delights,The Garden of Complex Delights,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00085,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00085.png
00086,Windy Exchange,The Garden of Windy Exchange,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00086,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00086.png
00087,Rhizomatic Contemplation,The Garden of Rhizomatic Contemplation,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00087,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00087.png
00088,Earthly Play,The Garden of Earthly Play,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00088,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00088.png
00089,Sleeping Utopia,The Garden of Sleeping Utopia,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00089,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00089.png
00090,Calm Balance,The Garden of Calm Balance,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00090,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00090.png
00091,Gentle Soil,The Garden of Gentle Soil,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00091,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00091.png
00092,Spindly Storms,The Garden of Spindly Storms,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00092,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00092.png
00093,Sprightly Societies,The Garden of Sprightly Societies,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00093,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00093.png
00094,Blubbly Computation,The Garden of Blubbly Computation,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00094,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00094.png
00095,Soft Biologies,The Garden of Soft Biologies,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00095,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00095.png
00096,Slow Networks,The Garden of Slow Networks,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00096,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00096.png
00097,Free Systems,The Garden of Free Systems,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00097,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00097.png
00098,Harmonious Structures,The Garden of Harmonious Structures,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00098,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00098.png
00099,Chaotic Theories,The Garden of Chaotic Theories,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00099,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00099.png
00100,Turbulent Languages,The Garden of Turbulent Languages,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00100,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00100.png
00101,Punctuated Loops,The Garden of Punctuated Loops,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00101,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00101.png
00102,Caring Seeds,The Garden of Caring Seeds,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00102,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00102.png
00103,Organized Pistil,The Garden of Organized Pistil,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00103,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00103.png
00104,Evolving Stamen,The Garden of Evolving Stamen,HTTPS://DECENTRALIZEDWEB.NET/QR/2018.HTML?BADGE=00104,Macintosh HD:Users:provolot:github:seeding-gardens:badge:qrcodes:badges:00104.png
